id,title,link,source,source_link,crawled,published_date
137,British coronavirus evacuee who was 'taken ill' on last flight out of Wuhan,https://www.dailymail.co.uk/health/article-7952449/Last-plane-load-Brits-Chinas-coronavirus-danger-zone-taken-quarantine-Merseyside.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-02-04 08:31:29,2020-02-04 08:09:54
141,CDC files for emergency approval of its coronavirus test,https://www.dailymail.co.uk/health/article-7961953/CDC-files-emergency-approval-coronavirus-test-needed-diagnose-82-patients.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-02-04 08:31:29,2020-02-03 21:25:50
142,Can ANY face mask really protect you from the coronavirus?,https://www.dailymail.co.uk/health/article-7955701/As-people-resort-using-bras-grapefruit-mask-really-protect-coronavirus.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-02-04 08:31:29,2020-02-03 21:19:39
144,Experts: You won't catch coronavirus from packages from China,https://www.dailymail.co.uk/health/article-7961419/You-wont-catch-coronavirus-packages-China-experts-say.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-02-04 08:31:29,2020-02-03 19:35:43
147,Seventh American diagnosed with coronavirus as US declares public health emergency,https://www.dailymail.co.uk/health/article-7953313/CDC-says-coronavirus-test-fail-flag-patients-dont-symptoms.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,dailymail.co.uk,https://www.dailymail.co.uk,2020-02-04 08:31:29,2020-02-01 02:30:11
602,"Rep. Paul Gosar: Coronavirus – To save lives, we must restrict travel from affected areas to the US",https://www.foxnews.com/opinion/coronavirus-restrict-travel-into-us-rep-paul-gosar,foxnews.com,https://www.foxnews.com/,2020-02-04 09:10:18,2020-02-04 09:00:13
668,Cambodian PM says he will visit students in China's Wuhan for moral support,http://feeds.reuters.com/~r/Reuters/worldNews/~3/BGLqauNRx6s/cambodian-pm-says-he-will-visit-students-in-chinas-wuhan-for-moral-support-idUSKBN1ZY0XF,reuters.com,https://www.reuters.com/,2020-02-04 09:10:30,2020-02-04 08:51:59
802,"Burdened by sanctions, North Korea sees coronavirus threaten economic lifelines",https://news.yahoo.com/burdened-sanctions-north-korea-sees-053156999.html,news.yahoo.com,https://news.yahoo.com,2020-02-04 09:10:42,2020-02-04 05:31:56
808,Two coronavirus cases confirmed in UK,https://www.bbc.co.uk/news/health-51325192,bbc.com,https://www.bbc.com/,2020-01-31 13:48:02,2020-01-31 12:51:13
809,Coronavirus: Worldwide cases surpass Sars outbreak in 2003,https://www.bbc.co.uk/news/world-51322733,bbc.com,https://www.bbc.com/,2020-01-31 13:48:02,2020-01-31 12:58:41
810,Coronavirus: Why are we catching more diseases from animals?,https://www.bbc.co.uk/news/health-51237225,bbc.com,https://www.bbc.com/,2020-01-31 13:48:02,2020-01-31 00:25:11
811,Coronavirus: Cement mixers become celebrities in China lockdown,https://www.bbc.co.uk/news/world-asia-china-51315238,bbc.com,https://www.bbc.com/,2020-01-31 13:48:02,2020-01-31 01:43:01
812,Coronavirus Wuhan diary: Living alone in a city gone quiet,https://www.bbc.co.uk/news/world-asia-china-51276656,bbc.com,https://www.bbc.com/,2020-01-31 13:48:02,2020-01-30 05:58:55
813,Coronavirus declared global health emergency by WHO,https://www.bbc.co.uk/news/world-51318246,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-31 07:01:43
814,Coronavirus: What it does to the body,https://www.bbc.co.uk/news/health-51214864,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-30 13:11:22
815,Coronavirus: Death toll rises as virus spreads to every Chinese region,https://www.bbc.co.uk/news/world-asia-china-51305526,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-30 19:19:18
816,Coronavirus: How worried should we be?,https://www.bbc.co.uk/news/health-51048366,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-31 10:28:45
817,Coronavirus: What does being in quarantine mean?,https://www.bbc.co.uk/news/health-51297965,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-29 19:56:42
818,Coronavirus: Scientists race to develop a vaccine,https://www.bbc.co.uk/news/health-51299735,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-30 05:04:30
819,Coronavirus: The US laboratory developing a vaccine,https://www.bbc.co.uk/news/health-51305193,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-30 05:02:20
820,Wuhan: The London-sized city where the virus began,https://www.bbc.co.uk/news/world-asia-china-51202254,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-23 01:30:36
821,Coronavirus: Can people recover? And other questions,https://www.bbc.co.uk/news/world-asia-china-51176409,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-31 13:22:49
822,China coronavirus: The lessons learned from the Sars outbreak,https://www.bbc.co.uk/news/world-asia-china-51221394,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-24 00:45:57
823,The British citizens trying to flee China,https://www.bbc.co.uk/news/uk-51328451,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-31 12:42:39
824,Coronavirus: What are viruses? And how do they spread?,https://www.bbc.co.uk/news/health-51224894,bbc.com,https://www.bbc.com/,2020-01-31 13:48:03,2020-01-24 00:09:07
825,Coronavirus spreads to more countries: All the latest updates,https://www.aljazeera.com/news/2020/01/cloneofcloneofcloneofcloneofchina-battles-corona-200130230453300.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 12:59:58
826,Coronavirus: Which countries have confirmed new cases?,https://www.aljazeera.com/news/2020/01/countries-confirmed-cases-coronavirus-200125070959786.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 12:58:02
827,Chinese residents in quarantine call for government action,https://www.aljazeera.com/news/2020/01/chinese-residents-quarantine-call-government-action-200131124911464.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 12:49:11
828,China coronavirus: All you need to know in 500 words,https://www.aljazeera.com/news/2020/01/china-coronavirus-500-words-200127065154334.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 12:39:59
829,How does coronavirus spread and how can you protect yourself?,https://www.aljazeera.com/news/2020/01/coronavirus-spread-protect-200130115539072.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 11:26:19
830,Timeline: How China's new coronavirus spread,https://www.aljazeera.com/news/2020/01/timeline-china-coronavirus-spread-200126061554884.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 11:25:03
831,Coronavirus: All you need to know about symptoms and risks,https://www.aljazeera.com/news/2020/01/coronavirus-symptoms-vaccines-risks-200122194509687.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 11:21:12
832,UK confirms first two coronavirus cases,https://www.aljazeera.com/news/2020/01/uk-confirms-coronavirus-cases-200131100102626.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 10:53:04
833,Coronavirus: Pakistan will not evacuate citizens from Wuhan,https://www.aljazeera.com/news/2020/01/coronavirus-pakistan-evacuate-citizens-wuhan-200131055420482.html,aljazeera.com,https://www.aljazeera.com,2020-01-31 13:48:09,2020-01-31 07:10:15
834,India's first coronavirus case: Kerala student in Wuhan tested positive,https://www.business-standard.com/article/current-affairs/india-s-first-coronavirus-case-kerala-student-in-wuhan-tested-positive-120013001782_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-31 01:45:57
835,India confirms first case of coronavirus; patient in Kerala 'stable',https://www.business-standard.com/article/current-affairs/coronavirus-patient-in-kerala-stable-being-closely-monitored-govt-120013000661_1.html,business-standard.com,https://www.business-standard.com,2020-01-31 13:48:10,2020-01-30 13:27:04
